,AATS1i,ATSC4d,ATSC4s,ATSC4pe,ATSC7are,ATSC3i,MATS3s,GATS3v,GATS1i,VR2_Dzm,Xpc-5dv,AXp-1dv,Mv,SIC4,EState_VSA7,AMID_C,GGI7,1,3,4,5,7,8,9,10,13,14,16,38,39,40,41,42,43,44,46,47,49,50,association
CC(=O)NC(N)=S,0.8433838788722298,0.7831198355505746,0.7026177559187038,0.7567743667520467,0.6326938982812045,0.5569578137242722,0.5426633947009175,0.4955282744655353,0.420858212828193,0.1225553382347943,0.009691876685511453,0.31765354886549857,0.27331595149097315,0.6550098208041358,0.0,0.1918045576555222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
C=CCN=C=S,0.28681008792401913,0.8031358729592292,0.6724590286278307,0.7044157166466867,0.6326938982812045,0.5204986077836782,0.861134021767218,0.09246661227855293,0.39167829610024246,0.08381233572496205,0.0,0.4484487477715694,0.42291503548181664,0.7417455263297265,0.0,0.48016636157605724,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,0.22564113892744653,0.8296361558723889,0.6859172387935812,0.7213152670588799,0.6877098140757301,0.5331058013213131,0.9451516401347951,0.1823976009187082,0.3801502370796553,0.33712766483254225,0.005174976284228051,0.4111698415569098,0.14363619760861504,0.7603979358512507,0.07691822061289716,0.8516222545655452,0.02536906670885257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
N#CS,0.07224880906246688,0.8082924435721296,0.6702153804952872,0.7100513511157414,0.6326938982812045,0.5362536139005485,0.0,0.0,0.25964710650220396,0.0,0.0,0.6115596989896039,0.8907942472570689,0.9999999999999989,0.0,0.029188765924004507,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
CN(C)C=S,0.5174758587268363,0.8269044406280668,0.6752644057052639,0.7244180801621707,0.6326938982812045,0.44774079757232166,0.2587461338131351,1.0,0.7124049373837451,0.06683311538576091,0.0,0.6656107263883477,0.11135723168369265,0.0,0.24046680042406607,0.34781791945450186,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C=CCN=C=S,0.28681008792401913,0.8031358729592292,0.6724590286278307,0.7044157166466867,0.6326938982812045,0.5204986077836782,0.861134021767218,0.09246661227855293,0.39167829610024246,0.08381233572496205,0.0,0.4484487477715694,0.42291503548181664,0.7417455263297265,0.0,0.48016636157605724,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,0.22564113892744653,0.8296361558723889,0.6859172387935812,0.7213152670588799,0.6877098140757301,0.5331058013213131,0.9451516401347951,0.1823976009187082,0.3801502370796553,0.33712766483254225,0.005174976284228051,0.4111698415569098,0.14363619760861504,0.7603979358512507,0.07691822061289716,0.8516222545655452,0.02536906670885257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,0.22564113892744653,0.8296361558723889,0.6859172387935812,0.7213152670588799,0.6877098140757301,0.5331058013213131,0.9451516401347951,0.1823976009187082,0.3801502370796553,0.33712766483254225,0.005174976284228051,0.4111698415569098,0.14363619760861504,0.7603979358512507,0.07691822061289716,0.8516222545655452,0.02536906670885257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
S=C=NCCc1ccccc1,0.12383749034218829,0.7968061825318941,0.669982866987286,0.7109174439060125,0.6273060302891317,0.5133945311039836,0.7074432820985683,0.27203537539194445,0.2930120220994647,0.22867224366990285,0.011255060100858026,0.33344950844601784,0.44145660200784537,0.8863059449995264,0.2303880594301833,0.7852314280911655,0.00880870371835157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C=CCN=C=S,0.28681008792401913,0.8031358729592292,0.6724590286278307,0.7044157166466867,0.6326938982812045,0.5204986077836782,0.861134021767218,0.09246661227855293,0.39167829610024246,0.08381233572496205,0.0,0.4484487477715694,0.42291503548181664,0.7417455263297265,0.0,0.48016636157605724,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,0.22564113892744653,0.8296361558723889,0.6859172387935812,0.7213152670588799,0.6877098140757301,0.5331058013213131,0.9451516401347951,0.1823976009187082,0.3801502370796553,0.33712766483254225,0.005174976284228051,0.4111698415569098,0.14363619760861504,0.7603979358512507,0.07691822061289716,0.8516222545655452,0.02536906670885257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S=C=NCCc1ccccc1,0.12383749034218829,0.7968061825318941,0.669982866987286,0.7109174439060125,0.6273060302891317,0.5133945311039836,0.7074432820985683,0.27203537539194445,0.2930120220994647,0.22867224366990285,0.011255060100858026,0.33344950844601784,0.44145660200784537,0.8863059449995264,0.2303880594301833,0.7852314280911655,0.00880870371835157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,0.22564113892744653,0.8296361558723889,0.6859172387935812,0.7213152670588799,0.6877098140757301,0.5331058013213131,0.9451516401347951,0.1823976009187082,0.3801502370796553,0.33712766483254225,0.005174976284228051,0.4111698415569098,0.14363619760861504,0.7603979358512507,0.07691822061289716,0.8516222545655452,0.02536906670885257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C=C[C@H](O)C#CC#C[C@H](O)/C=C/CCCCCCC,0.22564113892744653,0.8296361558723889,0.6859172387935812,0.7213152670588799,0.6877098140757301,0.5331058013213131,0.9451516401347951,0.1823976009187082,0.3801502370796553,0.33712766483254225,0.005174976284228051,0.4111698415569098,0.14363619760861504,0.7603979358512507,0.07691822061289716,0.8516222545655452,0.02536906670885257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
C=C[S+]([O-])C=C,0.0799551604451642,0.8082924435721296,0.6099320240105941,0.6620193464161852,0.6326938982812045,0.48251808397618945,0.9356995803023568,0.3355560210306211,0.3837756988229763,0.09477781360030076,0.00378455936462563,1.0,0.30186333457954084,0.20044660787814922,0.0,0.4501512121210896,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
CN(C)C=S,0.5174758587268363,0.8269044406280668,0.6752644057052639,0.7244180801621707,0.6326938982812045,0.44774079757232166,0.2587461338131351,1.0,0.7124049373837451,0.06683311538576091,0.0,0.6656107263883477,0.11135723168369265,0.0,0.24046680042406607,0.34781791945450186,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
CNC(N)=S,1.0,0.8188399743712439,0.6615359623178868,0.6892119085401306,0.6326938982812045,0.5037333521887298,0.8271258770143971,0.6250965773557521,0.4632662450370137,0.06806878323256477,0.0,0.5064699769415784,0.1286782398339652,0.5638800208567166,0.0,0.13419233616134407,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
CC(C)CCCCCCC/C=C/C(=O)O,0.2631119691484705,0.8177461563624469,0.6818840203479104,0.7384993670248154,0.6243417181904412,0.4260785598931942,0.8475733650478277,0.4098937140145137,0.5411006713716794,0.26862382876120966,0.010104080915209944,0.5592562760861177,0.0,0.57675623546175,0.0,0.80781073484605,0.019026800031639427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
C=CCN=C=S,0.28681008792401913,0.8031358729592292,0.6724590286278307,0.7044157166466867,0.6326938982812045,0.5204986077836782,0.861134021767218,0.09246661227855293,0.39167829610024246,0.08381233572496205,0.0,0.4484487477715694,0.42291503548181664,0.7417455263297265,0.0,0.48016636157605724,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C=C[S+]([O-])C=C,0.0799551604451642,0.8082924435721296,0.6099320240105941,0.6620193464161852,0.6326938982812045,0.48251808397618945,0.9356995803023568,0.3355560210306211,0.3837756988229763,0.09477781360030076,0.00378455936462563,1.0,0.30186333457954084,0.20044660787814922,0.0,0.4501512121210896,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
